account_id,first_name,last_name,password,balance_checking,balance_savings,status
10001,suresh,sigera,juagw362,none,10020.0,active
10002,james,taylor,idh36%@#FGd,10000.0,10000.0,active
10003,melvin,gordon,uYWE732g4ga1,2000.0,20000.0,active
10004,stacey,abrams,DEU8_qw3y72$,-100.0,20000.0,inactive
10005,jake,paul,d^dg23g)@,100000.0,100000.0,active
10006,shouq,almutairi,1234,800.0,2.0,active
10007,john,sam,123,3020.0,none,active
10008,omar,almutairi,123,44.0,1060.0,active
10009,afnan,almutairi,1,0.0,30.0,active
10010,nada,almutairi,12345,0.0,7.0,active
10011,shahad,alshehri,900,12000.0,2000.0,active
10012,noora,albuaenin,20,100000.0,1000000.0,active
10013,nuha,almutaiiri,12,8.0,10.0,active
